Nama Perguruan Tinggi Swasta;Tahun;Mahasiswa;Dosen;Rasio
Sekolah Tinggi Ilmu Ekonomi Surakarta;2022;1635;24;1:69
Sekolah Tinggi Ilmu Ekonomi Swasta Mandiri;2022;250;12;1:21
Sekolah Tinggi Ilmu Ekonomi Tamansiswa;2022;379;21;1:19
Sekolah Tinggi Ilmu Ekonomi Totalwin;2022;2100;33;1:64
Sekolah Tinggi Ilmu Ekonomi Widya Manggala;2022;250;20;1:13
Sekolah Tinggi Ilmu Ekonomi Widya Manggalia;2022;205;9;1:23
Sekolah Tinggi Ilmu Ekonomi Wijaya Mulya;2022;349;15;1:24
Sekolah Tinggi Ilmu Ekonomi YPPI;2022;0;0;-
Sekolah Tinggi Ilmu Farmasi Nusaputera;2022;400;22;1:19
Sekolah Tinggi Ilmu Farmasi Yayasan Pharmasi;2022;1254;61;1:21
Sekolah Tinggi Ilmu Kesehatan Bakti Utama Pati;2022;268;21;1:13
Sekolah Tinggi Ilmu Kesehatan Brebes;2022;148;27;1:6
Sekolah Tinggi Ilmu Kesehatan Cendekia Utama;2022;0;0;-
Sekolah Tinggi Ilmu Kesehatan Duta Gama Klaten;2022;410;27;1:16
Sekolah Tinggi Ilmu Kesehatan Elisabeth Semarang;2022;223;26;1:9
Sekolah Tinggi Ilmu Kesehatan Graha Mandiri Cilacap;2022;0;0;-
Sekolah Tinggi Ilmu Kesehatan HAKLI;2022;232;31;1:8
Sekolah Tinggi Ilmu Kesehatan Kendal;2022;352;43;1:9
Sekolah Tinggi Ilmu Kesehatan Kesdam IV / Diponegoro;2022;285;13;1:22
Sekolah Tinggi Ilmu Kesehatan Mambaul Ulum Surakarta;2022;259;30;1:9
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Kendal;2022;0;0;-
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Wonosobo;2022;60;8;1:8
Sekolah Tinggi Ilmu Kesehatan Nasional;2022;996;49;1:21
Sekolah Tinggi Ilmu Kesehatan Ngesti Waluyo;2022;256;14;1:19
Sekolah Tinggi Ilmu Kesehatan Panti Kosala;2022;253;10;1:26
Sekolah Tinggi Ilmu Kesehatan Panti Wilasa;2022;50;17;1:3
Sekolah Tinggi Ilmu Kesehatan Pemkab Purworejo;2022;0;0;-
Sekolah Tinggi Ilmu Kesehatan Semarang;2022;0;0;-
Sekolah Tinggi Ilmu Kesehatan Serulingmas;2022;332;25;1:14
Sekolah Tinggi Ilmu Kesehatan Tujuh Belas;2022;20;16;1:2
Sekolah Tinggi Ilmu Kesehatan YLPP Purwokerto;2022;0;0;-
Sekolah Tinggi Ilmu Komputer Yos Sudarso;2022;309;28;1:12
Sekolah Tinggi Ilmu Komunikasi;2022;100;10;1:10
Sekolah Tinggi Ilmu Perikanan Kalinyamat;2022;0;0;-
Sekolah Tinggi Ilmu Pertanian Farming Semarang;2022;139;13;1:11
Sekolah Tinggi Kesehatan Ar-Rum;2022;86;17;1:6
Sekolah Tinggi Kesehatan Bina Cipta Husada;2022;0;0;-
Sekolah Tinggi Manajemen Informatika dan Komputer AMIKOM Surakarta;2022;0;0;-
Sekolah Tinggi Manajemen Informatika dan Komputer Komputama Majenang;2022;0;0;-
Sekolah Tinggi Manajemen Informatika dan Komputer PGRI Arungbinang Kebumen;2022;0;0;-
Sekolah Tinggi Manajemen Informatika dan Komputer YMI;2022;0;0;-
Sekolah Tinggi Pariwisata Sahid Surakarta;2022;452;26;1:18
Sekolah Tinggi Teknik Pati;2022;69;13;1:6
Sekolah Tinggi Teknik Wiworotomo;2022;288;27;1:11
Sekolah Tinggi Teknologi Minyak dan Gas Cilacap;2022;61;19;1:4
Sekolah Tinggi Teknologi Muhammadiyah Kebumen;2022;0;0;-
Sekolah Tinggi Teknologi Ronggolawe;2022;551;31;1:18
Sekolah Tinggi Teknologi Warga Surakarta;2022;750;54;1:14
STIA Asuh Mitra Solo;2022;0;8;-
STIKES Bhakti Mandala Husada Slawi;2022;0;0;-
STIKES Estu Utomo;2022;674;30;1:23
STIKES Ibnu Sina Ajibarang;2022;269;14;1:20
STIKES Karya Husada Semarang;2022;0;0;-
STIKES Mambaul Ulum Surakarta;2022;0;0;-
STIKES Mitra Husada Karanganyar;2022;646;41;1:16
STIKES Muhammadiyah Gombong;2022;0;0;-
STIKES Muhammadiyah Klaten;2022;0;0;-
STIKES Muhammadiyah Tegal;2022;14;6;1:3
STIKES Telogorejo Semarang;2022;1080;61;1:18
STIMIK Tunas Bangsa Banjarnegara;2022;215;15;1:15
STKIP Darussalam Cilacap;2022;481;18;1:27
STKIP Majenang;2022;228;25;1:10
STKIP Muhammadiyah Batang;2022;0;0;-
STKIP Muhammadiyah Blora;2022;86;7;1:13
STKIP Nahdlatul Ulama Kabupaten Tegal;2022;0;20;-
STMIK AKI Pati;2022;110;16;1:7
STMIK AMIKOM Surakarta;2022;470;20;1:24
STMIK AUB Surakarta;2022;0;0;-
STMIK Bina Patria;2022;409;33;1:13
STMIK Himsya;2022;190;16;1:12
STMIK Komputama Majenang;2022;0;0;-
STMIK Muhammadiyah Paguyangan Brebes;2022;368;17;1:22
STMIK Sinar Nusantara;2022;628;37;1:17
STMIK Widya Pratama;2022;1075;66;1:17
STMIK Widya Utama;2022;523;21;1:25
STMIK YMI Tegal;2022;150;11;1:14
STT Minyak dan Gas Cilacap;2022;0;0;-
Universitas 17 Agustus 1945 Semarang;2022;5126;240;1:22
Universitas Aisyiyah Surakarta;2022;1278;83;1:16
Universitas Aki;2022;1101;64;1:18
Universitas Al Hikmah Jepara;2022;0;0;-
Universitas Al-Irsyad Cilacap;2022;925;75;1:13
Universitas Amikom Purwokerto;2022;2148;110;1:20
Universitas An Nuur;2022;756;64;1:12
Universitas Bhamada Slawi;2022;0;0;-
Universitas Bima Sakapenta;2022;0;0;-
Universitas Boyolali;2022;593;85;1:7
Universitas Darul Ulum Islamic Centre Sudirman;2022;1659;63;1:27
Universitas Dharma AUB Surakarta;2022;0;0;-
Universitas Dian Nuswantoro;2022;12676;393;1:33
Universitas Duta Bangsa Surakarta;2022;3693;142;1:27
Universitas Harapan Bangsa;2022;1750;114;1:16
Universitas Islam Batik;2022;1486;71;1:21
Universitas Islam Nahdlatul Ulama Jepara;2022;5136;165;1:32
Universitas Islam Sultan Agung;2022;15083;543;1:28
Universitas Ivet;2022;3168;167;1:19
Universitas Karya Husada Semarang;2022;0;0;-
Universitas Katolik Soegijapranata;2022;7815;247;1:32
Universitas Kristen Satya Wacana;2022;14344;513;1:28
Universitas Kristen Surakarta;2022;0;0;-
Universitas Kusuma Husada Surakarta;2022;2780;151;1:19
Universitas Maarif Nahdlatul Ulama Kebumen;2022;1335;89;1:15
Universitas Maritim AMNI;2022;2047;79;1:26
Universitas Muhadi Setiabudi;2022;1216;112;1:11
Universitas Muhammadiyah Brebes;2022;0;0;-
Universitas Muhammadiyah Gombong;2022;0;0;-
Universitas Muhammadiyah Karanganyar;2022;0;0;-
Universitas Muhammadiyah Kendal Batang;2022;0;0;-
Universitas Muhammadiyah Klaten;2022;0;0;-
Universitas Muhammadiyah Kudus;2022;2289;183;1:13
Universitas Muhammadiyah Magelang;2022;4092;169;1:25
Universitas Muhammadiyah Pekajangan Pekalongan;2022;2311;129;1:18
Universitas Muhammadiyah Purwokerto;2022;11508;431;1:27
Universitas Muhammadiyah Purworejo;2022;3580;131;1:28
Universitas Muhammadiyah Semarang;2022;10085;343;1:30
Universitas Muhammadiyah Surakarta;2022;32759;754;1:44
Universitas Muhammadiyah Tegal;2022;0;0;-
Universitas Muria Kudus;2022;10685;232;1:47
Universitas Nahdlatul Ulama;2022;0;0;-
Universitas Nahdlatul Ulama Al Ghazali Cilacap;2022;1832;108;1:17
Universitas Nahdlatul Ulama Purwokerto;2022;1292;103;1:13
Universitas Nahdlatul Ulama Surakarta;2022;1557;83;1:19
Universitas Nasional Karangturi Semarang;2022;242;46;1:6
Universitas Ngudi Waluyo;2022;3377;161;1:21
Universitas Pancasakti;2022;0;0;-
Universitas Pancasakti Tegal;2022;5466;189;1:29
Universitas Pandanaran;2022;618;77;1:9
Universitas Pekalongan;2022;5016;160;1:32
Universitas Peradaban;2022;1748;109;1:17
Universitas Perwira Purbalingga;2022;258;37;1:7
Universitas PGRI Semarang;2022;11166;339;1:33
Universitas Pignatelli Triputra;2022;0;0;-
Universitas Putra Bangsa;2022;0;0;-
Universitas Safin Pati;2022;0;0;-
Universitas Sahid Surakarta;2022;1187;65;1:19
Universitas Sains Alqur an;2022;8253;212;1:39
Universitas Sains Dan Teknologi Komputer;2022;3944;163;1:25
Universitas Selamat Sri;2022;2285;147;1:16
Universitas Semarang;2022;13821;415;1:34
Universitas Setia Budi Surakarta;2022;2329;116;1:21
Universitas Slamet Riyadi;2022;5042;147;1:35
Universitas Sragen;2022;0;0;-
Universitas Stikubank;2022;3312;143;1:24
Universitas Sugeng Hartono;2022;0;0;-
Universitas Sultan Fatah;2022;760;73;1:11
Universitas Surakarta;2022;3112;135;1:24
Universitas Tidar Magelang;2022;0;0;-
Universitas Tunas Pembangunan Surakarta (UTP);2022;2431;122;1:20
Universitas Veteran Bangun Nusantara;2022;3793;164;1:24
Universitas Wahid Hasyim;2022;7039;234;1:31
Universitas Widya Dharma;2022;1658;119;1:14
Universitas Widya Husada Semarang;2022;774;67;1:12
Universitas Wijaya Kusuma Purwokerto;2022;3822;110;1:35
Universitas YPPI Rembang;2022;0;0;-
Akademi Akuntansi Bima Sakapenta;2023;0;0;-
Akademi Akuntansi Effendi Harahap;2023;206;9;1:23
Akademi Akuntansi Muhammadiyah Klaten;2023;0;0;-
Akademi Analis Kesehatan 17 Agustus 1945;2023;118;7;1:17
Akademi Analis Kesehatan Pekalongan;2023;238;8;1:30
Akademi Bahasa Asing Harapan Bangsa;2023;0;0;-
Akademi Bahasa Asing IEC Putra Bangsa Tegal;2023;0;0;-
Akademi Bahasa Asing Prawira Martha Sukoharjo;2023;0;0;-
Akademi Bahasa Asing RA Kartini Surakarta;2023;0;0;-
Akademi Bahasa Asing St. Pignatelli;2023;0;0;-
Akademi Entrepreneurship Terang Bangsa;2023;0;0;-
Akademi Farmasi 17 Agustus 1945 Semarang;2023;0;0;-
Akademi Farmasi Kusuma Husada Purwokerto;2023;12;7;1:2
Akademi Inovasi Indonesia;2023;0;0;-
Akademi Kebidanan Bhakti Nusantara Salatiga;2023;0;0;-
Akademi Kebidanan Bhakti Pertiwi Pemalang;2023;0;0;-
Akademi Kebidanan Dulang Mas;2023;0;0;-
Akademi Kebidanan Duta Dharma;2023;0;0;-
Akademi Kebidanan Giri Satria Husada Wonogiri;2023;0;6;-
Akademi Kebidanan Graha Mandiri Cilacap;2023;0;0;-
Akademi Kebidanan Harapan Ibu Pekalongan;2023;42;9;1:5
Akademi Kebidanan Islam Al-hikmah;2023;0;0;-
Akademi Kebidanan KH Putra;2023;129;7;1:19
Akademi Kebidanan Mardi Rahayu;2023;0;0;-
Akademi Kebidanan Siti Fatimah;2023;50;7;1:8
Akademi Kebidanan Yappi Sragen;2023;0;10;-
Akademi Keperawatan Al-Hikmah Brebes;2023;196;13;1:16
Akademi Keperawatan Alkautsar Temanggung;2023;137;10;1:14
Akademi Keperawatan Giri Satria Husada;2023;102;8;1:13
Akademi Keperawatan Insan Husada Surakarta;2023;0;0;-
Akademi Keperawatan Kabupaten Purworejo;2023;325;8;1:41
Akademi Keperawatan Karya Bhakti Nusantara;2023;232;11;1:22
Akademi Keperawatan Krida Husada;2023;0;0;-
Akademi Keperawatan Patria Husada Surakarta;2023;42;6;1:7
Akademi Keperawatan Pragolopati;2023;0;0;-
Akademi Keperawatan Primaya;2023;0;0;-
Akademi Keperawatan Yappi Sragen;2023;93;13;1:8
Akademi Kesehatan 17 Agustus 1945 Semarang;2023;0;0;-
Akademi Kesehatan Asih Husada;2023;22;11;1:2
Akademi Kesehatan Muhammadiyah Temanggung;2023;0;0;-
Akademi Kesejahteraan Sosial Ibu Kartini;2023;187;21;1:9
Akademi Keuangan Perbankan Widya Buana;2023;0;10;-
Akademi Komunitas Adiyasa Karanganyar;2023;0;0;-
Akademi Komunitas Al-Kahfi;2023;193;8;1:25
Akademi Komunitas Balekambang;2023;0;0;-
Akademi Komunitas BPPMNU Banat;2023;16;6;1:3
Akademi Komunitas Miftahus Saadah Grobogan;2023;0;0;-
Akademi Komunitas Semen Indonesia Rembang;2023;0;7;-
Akademi Manajemen Rumah Sakit Kusuma Husada;2023;0;4;-
Akademi Maritim Nusantara Cilacap;2023;637;28;1:23
Akademi Pariwisata Eka Sakti;2023;0;0;-
Akademi Pariwisata Mandala Bhakti;2023;63;14;1:5
Akademi Pariwisata Widya Nusantara Surakarta;2023;0;0;-
Akademi Pelayaran Nasional Surakarta;2023;487;20;1:25
Akademi Pertanian HKTI Banyumas;2023;6;3;1:2
Akademi Peternakan Karanganyar;2023;0;0;-
Akademi Sekretari Dan Manajemen Santa Anna;2023;0;0;-
Akademi Sekretari Marsudirini Santa Maria;2023;62;5;1:13
Akademi Seni Dan Desain Indonesia Surakarta;2023;69;10;1:7
Akademi Seni Mangkunegaran Surakarta;2023;0;21;-
Akademi Statistika Muhammadiyah Semarang;2023;0;0;-
Akademi Teknik Elektro Medik Semarang;2023;0;0;-
Akademi Teknik PIKA;2023;126;7;1:18
Akademi Teknik Tirta Wiyata;2023;488;11;1:45
Akademi Teknik Wacana Manunggal Semarang;2023;128;17;1:8
Akademi Teknologi AUB;2023;0;0;-
AKBID Bhakti Putra Bangsa Purworejo;2023;0;0;-
AKBID Muslimat Nahdlatul Ulama Kudus;2023;38;7;1:6
AKBID Wira Husada Nusantara;2023;0;4;-
AMIK Harapan Bangsa Surakarta;2023;0;0;-
AMIK Jakarta Teknologi Cipta;2023;224;13;1:18
AMIK Jakarta Teknologi Cipta;2023;0;0;-
AMIK PGRI Kebumen;2023;129;11;1:12
AMIK Veteran Purwokerto;2023;0;0;-
AMIK YMI Tegal;2023;0;0;-
Institut Karya Mulia Bangsa;2023;0;0;-
Institut Teknologi Bisnis AAS Indonesia;2023;1244;43;1:29
Institut Teknologi Bisnis dan Kesehatan Bhakti Putra Bangsa Indonesia;2023;0;0;-
Institut Teknologi dan Bisnis Adias;2023;0;0;-
Institut Teknologi dan Bisnis Kristen Bukit Pengharapan;2023;146;22;1:7
Institut Teknologi dan Bisnis Muhammadiyah Grobogan;2023;0;0;-
Institut Teknologi dan Bisnis Muhammadiyah Purbalingga;2023;0;0;-
Institut Teknologi dan Bisnis Semarang;2023;1035;38;1:28
Institut Teknologi Dan Sains Nahdlatul Ulama Pekalongan;2023;113;47;1:3
Institut Teknologi Kesehatan Cendekia Utama Kudus;2023;0;0;-
Institut Teknologi Sains dan Kesehatan PKU Muhammadiyah Surakarta;2023;2042;67;1:31
Institut Teknologi Statistika dan Bisnis Muhammadiyah Semarang;2023;0;0;-
Institut Teknologi Telkom Purwokerto;2023;4908;200;1:25
Institut Widya Pratama;2023;0;0;-
Politeknik Akbara;2023;301;24;1:13
Politeknik Assalaam Surakarta;2023;0;0;-
Politeknik ATMI Surakarta;2023;744;70;1:11
Politeknik Baja Tegal;2023;235;17;1:14
Politeknik Balekambang Jepara;2023;211;19;1:12
Politeknik Banjarnegara;2023;217;23;1:10
Politeknik Bhakti Semesta;2023;0;0;-
Politeknik Bina Trada Semarang;2023;55;18;1:4
Politeknik Bisnis dan Perpajakan Indonesia;2023;0;0;-
Politeknik Bumi Akpelni;2023;849;49;1:18
Politeknik Dharma Patria;2023;0;0;-
Politeknik Gusdurian;2023;0;0;-
Politeknik Harapan Bersama;2023;2855;124;1:24
Politeknik Indonusa Surakarta;2023;1608;65;1:25
Politeknik Insan Husada Surakarta;2023;0;0;-
Politeknik Katolik Mangunwijaya;2023;364;24;1:16
Politeknik Kesehatan Bhakti Mulia;2023;490;29;1:17
Politeknik Kudus;2023;27;15;1:2
Politeknik Maarif;2023;0;0;-
Politeknik Madyathika;2023;0;0;-
Politeknik Manufaktur Ceper;2023;115;19;1:7
Politeknik Mitra Karya Mandiri;2023;206;16;1:13
Politeknik Muhammadiyah Magelang;2023;91;18;1:6
Politeknik Muhammadiyah Tegal;2023;393;37;1:11
Politeknik Nest;2023;0;0;-
Politeknik Pancasakti Global;2023;0;0;-
Politeknik Piksi Ganesha Indonesia;2023;0;0;-
Politeknik Pratama;2023;164;24;1:7
Politeknik Pratama Mulia;2023;562;41;1:14
Politeknik Purbaya;2023;437;16;1:28
Politeknik Pusmanu;2023;0;0;-
Politeknik Rukun Abdi Luhur;2023;92;15;1:7
Politeknik Santo Paulus Surakarta;2023;29;23;1:2
Politeknik Sawunggalih Aji;2023;298;30;1:10
Politeknik Stibisnis;2023;254;25;1:11
Politeknik Trisila Dharma;2023;0;0;-
Politeknik Yakpermas Banyumas;2023;251;25;1:11
Sekolah Tinggi Ilmu Administrasi Madani;2023;322;17;1:19
Sekolah Tinggi Ilmu Ekonomi Adi Unggul Bhirawa;2023;0;0;-
Sekolah Tinggi Ilmu Ekonomi AMA;2023;865;27;1:33
Sekolah Tinggi Ilmu Ekonomi Anindyaguna;2023;414;11;1:38
Sekolah Tinggi Ilmu Ekonomi Assholeh;2023;0;0;-
Sekolah Tinggi Ilmu Ekonomi Atma Bhakti;2023;1712;20;1:86
Sekolah Tinggi Ilmu Ekonomi Bank BPD Jawa Tengah;2023;1476;31;1:48
Sekolah Tinggi Ilmu Ekonomi Cendekia Karya Utama;2023;800;17;1:48
Sekolah Tinggi Ilmu Ekonomi Dharma Putra Semarang;2023;365;34;1:11
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Cilacap;2023;242;24;1:11
Sekolah Tinggi Ilmu Ekonomi Pariwisata Indonesia;2023;1531;61;1:26
Sekolah Tinggi Ilmu Ekonomi Pelita Nusantara;2023;291;13;1:23
Sekolah Tinggi Ilmu Ekonomi Putra Bangsa;2023;0;0;-
Sekolah Tinggi Ilmu Ekonomi Rajawali;2023;290;12;1:25
Sekolah Tinggi Ilmu Ekonomi Satria;2023;147;13;1:12
Sekolah Tinggi Ilmu Ekonomi Semarang;2023;2;77;1:1
Sekolah Tinggi Ilmu Ekonomi St. Pignatelli;2023;0;0;-
Sekolah Tinggi Ilmu Ekonomi Studi Ekonomi Modern;2023;127;24;1:6
Sekolah Tinggi Ilmu Ekonomi Surakarta;2023;2039;29;1:71
Sekolah Tinggi Ilmu Ekonomi Swasta Mandiri;2023;291;12;1:25
Sekolah Tinggi Ilmu Ekonomi Tamansiswa;2023;639;21;1:31
Sekolah Tinggi Ilmu Ekonomi Totalwin;2023;2025;37;1:55
Sekolah Tinggi Ilmu Ekonomi Widya Manggala;2023;245;21;1:12
Sekolah Tinggi Ilmu Ekonomi Widya Manggalia;2023;231;9;1:26
Sekolah Tinggi Ilmu Ekonomi Wijaya Mulya;2023;275;15;1:19
Sekolah Tinggi Ilmu Ekonomi YPPI;2023;0;0;-
Sekolah Tinggi Ilmu Farmasi Nusaputera;2023;332;23;1:15
Sekolah Tinggi Ilmu Farmasi Yayasan Pharmasi;2023;1365;63;1:22
Sekolah Tinggi Ilmu Kesehatan Bakti Utama Pati;2023;646;31;1:21
Sekolah Tinggi Ilmu Kesehatan Brebes;2023;179;27;1:7
Sekolah Tinggi Ilmu Kesehatan Cendekia Utama;2023;0;0;-
Sekolah Tinggi Ilmu Kesehatan Duta Gama Klaten;2023;0;0;-
Sekolah Tinggi Ilmu Kesehatan Elisabeth Semarang;2023;329;28;1:12
Sekolah Tinggi Ilmu Kesehatan Graha Mandiri Cilacap;2023;0;0;-
Sekolah Tinggi Ilmu Kesehatan HAKLI;2023;269;31;1:9
Sekolah Tinggi Ilmu Kesehatan Kendal;2023;429;46;1:10
Sekolah Tinggi Ilmu Kesehatan Kesdam IV / Diponegoro;2023;298;15;1:20
Sekolah Tinggi Ilmu Kesehatan Mambaul Ulum Surakarta;2023;243;36;1:7
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Kendal;2023;0;0;-
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Wonosobo;2023;75;8;1:10
Sekolah Tinggi Ilmu Kesehatan Nasional;2023;909;50;1:19
Sekolah Tinggi Ilmu Kesehatan Ngesti Waluyo;2023;275;16;1:18
Sekolah Tinggi Ilmu Kesehatan Panti Kosala;2023;277;10;1:28
Sekolah Tinggi Ilmu Kesehatan Panti Wilasa;2023;78;16;1:5
Sekolah Tinggi Ilmu Kesehatan Pemkab Purworejo;2023;0;0;-
Sekolah Tinggi Ilmu Kesehatan Semarang;2023;0;0;-
Sekolah Tinggi Ilmu Kesehatan Serulingmas;2023;357;25;1:15
Sekolah Tinggi Ilmu Kesehatan Tujuh Belas;2023;309;17;1:19
Sekolah Tinggi Ilmu Kesehatan YLPP Purwokerto;2023;0;0;-
Sekolah Tinggi Ilmu Komputer Yos Sudarso;2023;402;28;1:15
Sekolah Tinggi Ilmu Komunikasi;2023;102;12;1:9
Sekolah Tinggi Ilmu Perikanan Kalinyamat;2023;0;0;-
Sekolah Tinggi Ilmu Pertanian Farming Semarang;2023;135;13;1:11
Sekolah Tinggi Kesehatan Ar-Rum;2023;0;0;-
Sekolah Tinggi Kesehatan Bina Cipta Husada;2023;0;0;-
Sekolah Tinggi Manajemen Informatika dan Komputer AMIKOM Surakarta;2023;0;0;-
Sekolah Tinggi Manajemen Informatika dan Komputer Komputama Majenang;2023;0;0;-
Sekolah Tinggi Manajemen Informatika dan Komputer PGRI Arungbinang Kebumen;2023;0;0;-
Sekolah Tinggi Manajemen Informatika dan Komputer YMI;2023;0;0;-
Sekolah Tinggi Pariwisata Sahid Surakarta;2023;531;28;1:19
Sekolah Tinggi Teknik Pati;2023;101;13;1:8
Sekolah Tinggi Teknik Wiworotomo;2023;308;27;1:12
Sekolah Tinggi Teknologi Minyak dan Gas Cilacap;2023;77;23;1:4
Sekolah Tinggi Teknologi Muhammadiyah Kebumen;2023;0;0;-
Sekolah Tinggi Teknologi Ronggolawe;2023;710;31;1:23
Sekolah Tinggi Teknologi Warga Surakarta;2023;934;52;1:18
STIA Asuh Mitra Solo;2023;0;0;-
STIKES Bhakti Mandala Husada Slawi;2023;0;0;-
STIKES Estu Utomo;2023;978;30;1:33
STIKES Ibnu Sina Ajibarang;2023;252;16;1:16
STIKES Karya Husada Semarang;2023;0;0;-
STIKES Mambaul Ulum Surakarta;2023;0;0;-
STIKES Mitra Husada Karanganyar;2023;735;47;1:16
STIKES Muhammadiyah Gombong;2023;0;0;-
STIKES Muhammadiyah Klaten;2023;0;0;-
STIKES Muhammadiyah Tegal;2023;19;9;1:3
STIKES Telogorejo Semarang;2023;1185;67;1:18
STIMIK Tunas Bangsa Banjarnegara;2023;314;18;1:18
STKIP Darussalam Cilacap;2023;694;21;1:34
STKIP Majenang;2023;335;27;1:13
STKIP Muhammadiyah Batang;2023;0;0;-
STKIP Muhammadiyah Blora;2023;129;9;1:15
STKIP Nahdlatul Ulama Kabupaten Tegal;2023;18;22;1:1
STMIK AKI Pati;2023;141;16;1:9
STMIK AMIKOM Surakarta;2023;547;23;1:24
STMIK AUB Surakarta;2023;0;0;-
STMIK Bina Patria;2023;459;34;1:14
STMIK Himsya;2023;183;16;1:12
STMIK Komputama Majenang;2023;0;0;-
STMIK Muhammadiyah Paguyangan Brebes;2023;366;17;1:22
STMIK Sinar Nusantara;2023;734;39;1:19
STMIK Widya Pratama;2023;1284;68;1:19
STMIK Widya Utama;2023;1932;21;1:92
STMIK YMI Tegal;2023;193;12;1:17
STT Minyak dan Gas Cilacap;2023;0;0;-
Universitas 17 Agustus 1945 Semarang;2023;5806;245;1:24
Universitas Aisyiyah Surakarta;2023;1559;89;1:18
Universitas Aki;2023;141;64;1:3
Universitas Al Hikmah Jepara;2023;0;0;-
Universitas Al-Irsyad Cilacap;2023;1317;82;1:17
Universitas Amikom Purwokerto;2023;2561;116;1:23
Universitas An Nuur;2023;1201;65;1:19
Universitas Bhamada Slawi;2023;0;0;-
Universitas Bima Sakapenta;2023;0;0;-
Universitas Boyolali;2023;949;91;1:11
Universitas Darul Ulum Islamic Centre Sudirman;2023;1953;66;1:30
Universitas Dharma AUB Surakarta;2023;0;0;-
Universitas Dian Nuswantoro;2023;14305;416;1:35
Universitas Duta Bangsa Surakarta;2023;4446;163;1:28
Universitas Harapan Bangsa;2023;2383;124;1:20
Universitas Islam Batik;2023;1656;73;1:23
Universitas Islam Nahdlatul Ulama Jepara;2023;5665;169;1:34
Universitas Islam Sultan Agung;2023;16585;552;1:31
Universitas Ivet;2023;3607;168;1:22
Universitas Karya Husada Semarang;2023;0;0;-
Universitas Katolik Soegijapranata;2023;8642;265;1:33
Universitas Kristen Satya Wacana;2023;17735;525;1:34
Universitas Kristen Surakarta;2023;0;0;-
Universitas Kusuma Husada Surakarta;2023;2981;138;1:22
Universitas Maarif Nahdlatul Ulama Kebumen;2023;1823;99;1:19
Universitas Maritim AMNI;2023;2043;82;1:25
Universitas Muhadi Setiabudi;2023;1255;122;1:11
Universitas Muhammadiyah Brebes;2023;0;0;-
Universitas Muhammadiyah Gombong;2023;0;0;-
Universitas Muhammadiyah Karanganyar;2023;0;0;-
Universitas Muhammadiyah Kendal Batang;2023;0;0;-
Universitas Muhammadiyah Klaten;2023;0;0;-
Universitas Muhammadiyah Kudus;2023;2629;189;1:14
Universitas Muhammadiyah Magelang;2023;4485;176;1:26
Universitas Muhammadiyah Pekajangan Pekalongan;2023;2335;130;1:18
Universitas Muhammadiyah Purwokerto;2023;13678;455;1:31
Universitas Muhammadiyah Purworejo;2023;4058;134;1:31
Universitas Muhammadiyah Semarang;2023;12126;387;1:32
Universitas Muhammadiyah Surakarta;2023;36504;791;1:47
Universitas Muhammadiyah Tegal;2023;0;0;-
Universitas Muria Kudus;2023;12049;259;1:47
Universitas Nahdlatul Ulama;2023;0;0;-
Universitas Nahdlatul Ulama Al Ghazali Cilacap;2023;2251;110;1:21
Universitas Nahdlatul Ulama Purwokerto;2023;1762;102;1:18
Universitas Nahdlatul Ulama Surakarta;2023;1723;90;1:20
Universitas Nasional Karangturi Semarang;2023;263;46;1:6
Universitas Ngudi Waluyo;2023;4177;164;1:26
Universitas Pancasakti;2023;0;0;-
Universitas Pancasakti Tegal;2023;6307;193;1:33
Universitas Pandanaran;2023;1075;76;1:15
Universitas Pekalongan;2023;5586;161;1:35
Universitas Peradaban;2023;1736;116;1:15
Universitas Perwira Purbalingga;2023;472;38;1:13
Universitas PGRI Semarang;2023;14585;344;1:43
Universitas Pignatelli Triputra;2023;0;0;-
Universitas Putra Bangsa;2023;0;0;-
Universitas Safin Pati;2023;0;0;-
Universitas Sahid Surakarta;2023;148;65;1:3
Universitas Sains Alqur an;2023;9131;222;1:42
Universitas Sains Dan Teknologi Komputer;2023;4801;174;1:28
Universitas Selamat Sri;2023;2566;152;1:17
Universitas Semarang;2023;15117;418;1:37
Universitas Setia Budi Surakarta;2023;2615;113;1:24
Universitas Slamet Riyadi;2023;6051;167;1:37
Universitas Sragen;2023;0;0;-
Universitas Stikubank;2023;303;137;1:3
Universitas Sugeng Hartono;2023;0;0;-
Universitas Sultan Fatah;2023;861;76;1:12
Universitas Surakarta;2023;2782;137;1:21
Universitas Tidar Magelang;2023;0;0;-
Universitas Tunas Pembangunan Surakarta (UTP);2023;2602;120;1:22
Universitas Veteran Bangun Nusantara;2023;4808;156;1:31
Universitas Wahid Hasyim;2023;7835;256;1:31
Universitas Widya Dharma;2023;1982;116;1:18
Universitas Widya Husada Semarang;2023;1315;71;1:19
Universitas Wijaya Kusuma Purwokerto;2023;4477;118;1:38
Universitas YPPI Rembang;2023;0;0;-
Akademi Akuntansi Bima Sakapenta;2024;0;0;-
Akademi Akuntansi Effendi Harahap;2024;510;12;1:43
