Nama Perguruan Tinggi Swasta;Tahun;Mahasiswa;Dosen;Rasio
Politeknik Harapan Bersama;2021;4391;173;1:26
Politeknik Indonusa Surakarta;2021;1608;50;1:33
Politeknik Insan Husada Surakarta;2021;0;0;-
Politeknik Katolik Mangunwijaya;2021;346;31;1:12
Politeknik Kesehatan Bhakti Mulia;2021;432;26;1:17
Politeknik Kudus;2021;69;25;1:3
Politeknik Maarif;2021;0;0;-
Politeknik Madyathika;2021;0;0;-
Politeknik Manufaktur Ceper;2021;129;22;1:6
Politeknik Mitra Karya Mandiri;2021;181;27;1:7
Politeknik Muhammadiyah Magelang;2021;138;36;1:4
Politeknik Muhammadiyah Tegal;2021;451;38;1:12
Politeknik Nest;2021;0;0;-
Politeknik Pancasakti Global;2021;0;0;-
Politeknik Piksi Ganesha Indonesia;2021;0;0;-
Politeknik Pratama;2021;130;29;1:5
Politeknik Pratama Mulia;2021;2586;62;1:42
Politeknik Purbaya;2021;467;29;1:17
Politeknik Pusmanu;2021;409;17;1:25
Politeknik Rukun Abdi Luhur;2021;0;0;-
Politeknik Santo Paulus Surakarta;2021;79;20;1:4
Politeknik Sawunggalih Aji;2021;409;33;1:13
Politeknik Stibisnis;2021;395;35;1:12
Politeknik Trisila Dharma;2021;134;19;1:8
Politeknik Yakpermas Banyumas;2021;235;26;1:10
Sekolah Tinggi Ilmu Administrasi Madani;2021;212;29;1:8
Sekolah Tinggi Ilmu Ekonomi Adi Unggul Bhirawa;2021;1634;70;1:24
Sekolah Tinggi Ilmu Ekonomi AMA;2021;859;33;1:27
Sekolah Tinggi Ilmu Ekonomi Anindyaguna;2021;820;14;1:59
Sekolah Tinggi Ilmu Ekonomi Assholeh;2021;508;32;1:16
Sekolah Tinggi Ilmu Ekonomi Atma Bhakti;2021;2580;27;1:96
Sekolah Tinggi Ilmu Ekonomi Bank BPD Jawa Tengah;2021;1775;43;1:42
Sekolah Tinggi Ilmu Ekonomi Cendekia Karya Utama;2021;484;20;1:25
Sekolah Tinggi Ilmu Ekonomi Dharma Putra Semarang;2021;752;40;1:19
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Cilacap;2021;343;28;1:13
Sekolah Tinggi Ilmu Ekonomi Pariwisata Indonesia;2021;2224;66;1:34
Sekolah Tinggi Ilmu Ekonomi Pelita Nusantara;2021;377;13;1:29
Sekolah Tinggi Ilmu Ekonomi Putra Bangsa;2021;1778;0;-
Sekolah Tinggi Ilmu Ekonomi Rajawali;2021;450;20;1:23
Sekolah Tinggi Ilmu Ekonomi Satria;2021;451;22;1:21
Sekolah Tinggi Ilmu Ekonomi Semarang;2021;3321;69;1:49
Sekolah Tinggi Ilmu Ekonomi St. Pignatelli;2021;238;23;1:11
Sekolah Tinggi Ilmu Ekonomi Studi Ekonomi Modern;2021;236;17;1:14
Sekolah Tinggi Ilmu Ekonomi Surakarta;2021;2355;39;1:61
Sekolah Tinggi Ilmu Ekonomi Swasta Mandiri;2021;268;21;1:13
Sekolah Tinggi Ilmu Ekonomi Tamansiswa;2021;601;16;1:38
Sekolah Tinggi Ilmu Ekonomi Totalwin;2021;2245;32;1:71
Sekolah Tinggi Ilmu Ekonomi Widya Manggala;2021;727;20;1:37
Sekolah Tinggi Ilmu Ekonomi Widya Manggalia;2021;271;10;1:28
Sekolah Tinggi Ilmu Ekonomi Wijaya Mulya;2021;450;20;1:23
Sekolah Tinggi Ilmu Ekonomi YPPI;2021;600;40;1:15
Sekolah Tinggi Ilmu Farmasi Nusaputera;2021;0;22;-
Sekolah Tinggi Ilmu Farmasi Yayasan Pharmasi;2021;1226;70;1:18
Sekolah Tinggi Ilmu Kesehatan Bakti Utama Pati;2021;171;24;1:8
Sekolah Tinggi Ilmu Kesehatan Brebes;2021;154;29;1:6
Sekolah Tinggi Ilmu Kesehatan Cendekia Utama;2021;1031;54;1:20
Sekolah Tinggi Ilmu Kesehatan Duta Gama Klaten;2021;290;38;1:8
Sekolah Tinggi Ilmu Kesehatan Elisabeth Semarang;2021;361;25;1:15
Sekolah Tinggi Ilmu Kesehatan Graha Mandiri Cilacap;2021;0;0;-
Sekolah Tinggi Ilmu Kesehatan HAKLI;2021;356;50;1:8
Sekolah Tinggi Ilmu Kesehatan Kendal;2021;513;51;1:11
Sekolah Tinggi Ilmu Kesehatan Kesdam IV / Diponegoro;2021;287;14;1:21
Sekolah Tinggi Ilmu Kesehatan Mambaul Ulum Surakarta;2021;264;35;1:8
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Kendal;2021;176;29;1:7
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Wonosobo;2021;45;7;1:7
Sekolah Tinggi Ilmu Kesehatan Nasional;2021;1039;53;1:20
Sekolah Tinggi Ilmu Kesehatan Ngesti Waluyo;2021;275;14;1:20
Sekolah Tinggi Ilmu Kesehatan Panti Kosala;2021;255;12;1:22
Sekolah Tinggi Ilmu Kesehatan Panti Wilasa;2021;76;20;1:4
Sekolah Tinggi Ilmu Kesehatan Pemkab Purworejo;2021;0;0;-
Sekolah Tinggi Ilmu Kesehatan Semarang;2021;0;0;-
Sekolah Tinggi Ilmu Kesehatan Serulingmas;2021;291;29;1:11
Sekolah Tinggi Ilmu Kesehatan Tujuh Belas;2021;274;20;1:14
Sekolah Tinggi Ilmu Kesehatan YLPP Purwokerto;2021;0;0;-
Sekolah Tinggi Ilmu Komputer Yos Sudarso;2021;651;31;1:21
Sekolah Tinggi Ilmu Komunikasi;2021;262;14;1:19
Sekolah Tinggi Ilmu Perikanan Kalinyamat;2021;0;0;-
Sekolah Tinggi Ilmu Pertanian Farming Semarang;2021;79;16;1:5
Sekolah Tinggi Kesehatan Ar-Rum;2021;107;21;1:6
Sekolah Tinggi Kesehatan Bina Cipta Husada;2021;110;17;1:7
Sekolah Tinggi Manajemen Informatika dan Komputer AMIKOM Surakarta;2021;0;0;-
Sekolah Tinggi Manajemen Informatika dan Komputer Komputama Majenang;2021;0;0;-
Sekolah Tinggi Manajemen Informatika dan Komputer PGRI Arungbinang Kebumen;2021;0;0;-
Sekolah Tinggi Manajemen Informatika dan Komputer YMI;2021;0;0;-
Sekolah Tinggi Pariwisata Sahid Surakarta;2021;677;31;1:22
Sekolah Tinggi Teknik Pati;2021;68;20;1:4
